4/3/25 19:33:1, Microphone: 3, Temp =  79.01, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.49

4/3/25 19:33:2, Microphone: 0, Temp =  79.12, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:33:4, Microphone: 43, Temp =  79.10, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:33:5, Microphone: 40, Temp =  79.16, AccX =  -0.03, AccY =  -0.02, AccZ =  1.01, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:33:7, Microphone: -75, Temp =  79.14, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.14

4/3/25 19:33:8, Microphone: 20, Temp =  79.29, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.15, GyroZ =  0.35

4/3/25 19:33:9, Microphone: 19, Temp =  79.29, AccX =  -0.03, AccY =  -0.01, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:33:11, Microphone: 25, Temp =  79.29, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:33:13, Microphone: 15, Temp =  79.31, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:33:14, Microphone: 3, Temp =  79.42, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:33:16, Microphone: 29, Temp =  79.38, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:33:17, Microphone: -102, Temp =  79.37, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:33:19, Microphone: 40, Temp =  79.45, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:33:20, Microphone: -41, Temp =  79.50, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:33:22, Microphone: -1, Temp =  79.43, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:33:23, Microphone: 2, Temp =  79.52, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:33:25, Microphone: -72, Temp =  79.56, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.49

4/3/25 19:33:26, Microphone: 11, Temp =  79.57, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:33:28, Microphone: 21, Temp =  79.52, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:33:29, Microphone: -7, Temp =  79.52, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.15, GyroZ =  0.42

4/3/25 19:33:31, Microphone: 33, Temp =  79.52, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.01, GyroZ =  0.49

4/3/25 19:33:32, Microphone: 33, Temp =  79.54, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.22, GyroZ =  0.35

4/3/25 19:33:34, Microphone: -49, Temp =  79.55, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.08, GyroZ =  0.42

4/3/25 19:33:36, Microphone: -11, Temp =  79.55, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:33:37, Microphone: 24, Temp =  79.59, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.15, GyroZ =  0.35

4/3/25 19:33:39, Microphone: -15, Temp =  79.62, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:33:40, Microphone: -8, Temp =  79.51, AccX =  -0.03, AccY =  -0.01, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.08, GyroZ =  0.42

4/3/25 19:33:42, Microphone: -27, Temp =  79.59, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:33:43, Microphone: 65, Temp =  79.57, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.28

4/3/25 19:33:45, Microphone: 5, Temp =  79.54, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:33:47, Microphone: -3, Temp =  79.55, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:33:48, Microphone: -2, Temp =  79.61, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:33:50, Microphone: 17, Temp =  79.57, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.21

4/3/25 19:33:51, Microphone: -26, Temp =  79.52, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  -0.07, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:33:53, Microphone: -13, Temp =  79.62, AccX =  -0.03, AccY =  -0.02, AccZ =  1.01, GyroX =  0.14, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:33:54, Microphone: 25, Temp =  79.66, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.42

4/3/25 19:33:56, Microphone: 28, Temp =  79.63, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:33:58, Microphone: -70, Temp =  79.62, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.15, GyroZ =  0.35

4/3/25 19:33:59, Microphone: 23, Temp =  79.64, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:34:1, Microphone: 9, Temp =  79.66, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:34:2, Microphone: -14, Temp =  79.74, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.80, GyroZ =  0.42

4/3/25 19:34:4, Microphone: 22, Temp =  79.72, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.15, GyroZ =  0.28

4/3/25 19:34:5, Microphone: 8, Temp =  79.65, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:34:7, Microphone: 3, Temp =  79.69, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.28

4/3/25 19:34:8, Microphone: 40, Temp =  79.74, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:34:10, Microphone: -15, Temp =  79.74, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:34:11, Microphone: 47, Temp =  79.67, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:34:13, Microphone: 11, Temp =  79.76, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  -0.07, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:34:14, Microphone: 18, Temp =  79.69, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.15, GyroZ =  0.35

4/3/25 19:34:16, Microphone: 42, Temp =  79.73, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.22, GyroZ =  0.28

4/3/25 19:34:17, Microphone: -11, Temp =  79.76, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.35

4/3/25 19:34:19, Microphone: -49, Temp =  79.71, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:34:20, Microphone: -2, Temp =  79.85, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.28

