Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.09,-0.23,0.95,-17.08,21.14,-19.39
-0.07,-0.26,0.94,-12.53,11.97,-17.29
-0.05,-0.25,0.94,-9.94,7.91,-16.03
-0.05,-0.25,0.95,-8.82,6.51,-15.12
-0.05,-0.24,0.96,-8.61,7.42,-15.05
-0.04,-0.24,0.96,-10.43,10.22,-14.49
-0.04,-0.25,0.96,-11.83,11.76,-11.97
-0.05,-0.27,0.96,-11.27,13.02,-9.8
-0.06,-0.27,0.95,-8.82,13.86,-9.03
-0.08,-0.27,0.94,-6.51,14,-7.63
-0.09,-0.27,0.94,-4.76,12.18,-7.28
-0.11,-0.27,0.93,-3.01,7.63,-7.56
-0.11,-0.28,0.94,-0.84,3.08,-8.12
-0.1,-0.28,0.94,1.75,0.14,-7.56
-0.1,-0.27,0.96,1.05,-2.94,-5.11
-0.1,-0.27,0.96,0.49,-6.3,-3.78
-0.09,-0.28,0.96,1.61,-6.79,-2.1
-0.09,-0.27,0.98,3.36,-5.25,-1.47
-0.09,-0.25,0.98,1.54,-3.5,-1.47
-0.1,-0.25,0.99,0,-1.33,-0.84
-0.1,-0.27,0.99,0.49,0.98,0.84
-0.12,-0.26,0.98,2.8,2.73,0.07
-0.13,-0.25,0.99,3.5,2.94,-1.26
-0.13,-0.25,0.99,2.66,0.77,-1.26
-0.13,-0.25,0.99,2.87,-0.77,-1.4
-0.13,-0.25,1,3.01,-1.19,-2.52
-0.13,-0.26,1.01,2.45,-3.01,-1.68
-0.12,-0.25,1.01,0.28,-3.99,-0.63
-0.12,-0.25,1.02,-0.84,-3.71,0.42
-0.13,-0.24,1.01,-0.91,-1.61,-0.14
-0.13,-0.24,1.01,-2.94,-0.7,-1.4
-0.13,-0.26,1,-3.99,0.21,-1.12
-0.12,-0.27,1,-2.66,1.61,-0.77
-0.12,-0.27,0.98,-0.56,2.31,-0.56
-0.13,-0.26,0.98,0.84,2.94,-0.49
-0.13,-0.26,0.99,0.84,2.38,-0.98
-0.13,-0.26,0.99,0.21,1.75,-0.84
-0.12,-0.25,0.99,-0.21,0.98,-1.05
-0.13,-0.24,1,-2.31,-1.26,-0.98
-0.13,-0.26,1.01,-3.85,-3.15,-0.07
-0.12,-0.26,1,-3.92,-3.15,-0.14
-0.12,-0.26,0.99,-2.8,-2.24,-0.42
-0.11,-0.27,0.99,-2.45,-0.28,0.14
-0.11,-0.27,0.98,-1.4,1.33,1.05
-0.12,-0.28,0.97,0.56,1.54,2.66
-0.13,-0.27,0.98,2.45,0.84,2.24
-0.14,-0.25,0.97,1.4,-0.84,1.33
-0.14,-0.25,0.98,0.28,-2.38,1.33
-0.14,-0.26,0.97,-0.21,-3.57,0.56
-0.14,-0.28,0.97,0.84,-5.04,0.35
-0.13,-0.27,0.98,2.66,-5.39,0.77
-0.13,-0.27,0.99,2.52,-5.6,1.47
-0.13,-0.27,1,2.73,-5.32,1.61
-0.15,-0.26,1,2.31,-5.74,0.84
-0.14,-0.27,1,1.61,-6.3,0.63
-0.13,-0.29,1.01,2.17,-5.53,1.47
-0.13,-0.29,1.01,2.66,-4.2,1.96
-0.14,-0.29,1,4.13,-2.8,2.1
-0.15,-0.29,1,5.25,-2.03,1.75
-0.16,-0.29,0.99,5.95,-3.01,0.91
-0.16,-0.29,0.99,6.02,-4.9,0.84
-0.15,-0.29,1,5.04,-6.58,1.33
-0.15,-0.29,0.99,3.71,-7.98,2.1
-0.14,-0.29,0.98,3.01,-9.73,3.15
-0.13,-0.29,0.98,3.5,-9.73,4.55
