Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.09,-0.22,1,0.56,-2.66,1.4
-0.09,-0.22,0.99,1.33,-2.52,1.4
-0.1,-0.22,1,1.47,-2.31,0.63
-0.1,-0.22,1,1.89,-3.08,-0.21
-0.09,-0.22,1,2.45,-3.29,0.21
-0.09,-0.22,1.01,1.96,-2.94,0.77
-0.1,-0.21,1.01,1.54,-2.59,0.91
-0.1,-0.21,1.02,1.19,-2.87,0.35
-0.1,-0.21,1.02,0.98,-2.87,-0.49
-0.1,-0.22,1.02,0.91,-2.8,0
-0.09,-0.22,1.02,0.7,-2.66,0.63
-0.1,-0.22,1.01,0.35,-3.15,0.63
-0.11,-0.22,1,0.21,-5.46,0.63
-0.1,-0.22,1.01,0.98,-5.67,0.42
-0.09,-0.22,1,1.89,-3.22,0.56
-0.1,-0.21,1,1.89,-2.31,-0.35
-0.11,-0.21,1.01,1.75,-3.01,-1.4
-0.1,-0.21,1.01,0.28,-3.01,-1.12
-0.1,-0.22,1.01,0.49,-2.94,-0.56
-0.1,-0.22,1.01,0.84,-2.59,-1.26
-0.11,-0.21,1.01,0.77,-2.87,-1.68
-0.11,-0.22,1.01,0.56,-3.36,-1.68
-0.1,-0.22,1.01,0.63,-2.59,-1.19
-0.09,-0.22,1.01,0.49,-1.61,-0.77
-0.1,-0.22,1.01,0.28,-1.12,-0.91
-0.11,-0.21,1.01,-0.28,-1.33,-1.33
-0.11,-0.22,1,-0.77,-2.73,-1.68
-0.1,-0.22,1,-0.63,-3.85,-2.03
-0.1,-0.22,1,0.07,-3.43,-2.8
-0.1,-0.22,1,0.42,-3.29,-2.45
-0.09,-0.22,1.01,0.42,-3.08,-2.1
-0.09,-0.22,1.01,0.49,-2.8,-1.54
-0.09,-0.22,1.01,0.91,-2.1,-1.26
-0.09,-0.22,1.01,1.33,-0.91,-1.68
-0.1,-0.22,1.01,1.19,-1.4,-2.17
-0.1,-0.22,1.01,0.84,-3.08,-2.31
-0.1,-0.22,1.02,0.21,-4.48,-2.1
-0.1,-0.22,1.02,-0.42,-4.55,-1.68
-0.1,-0.22,1.02,-1.12,-4.48,-1.19
-0.1,-0.22,1,-1.12,-3.99,-0.63
-0.1,-0.23,0.99,-0.98,-3.01,-0.56
-0.11,-0.23,0.99,-0.35,-1.96,-0.84
-0.12,-0.23,0.99,-0.49,-2.24,-1.61
-0.11,-0.23,0.98,-0.07,-3.99,-1.75
-0.11,-0.23,0.98,1.12,-4.69,-1.89
-0.1,-0.23,0.98,2.52,-3.78,-2.1
-0.1,-0.23,0.99,3.92,-3.5,-2.38
-0.1,-0.23,1.01,4.2,-3.78,-2.59
-0.1,-0.23,1.03,3.78,-3.92,-2.24
-0.1,-0.23,1.04,2.17,-4.27,-1.19
-0.1,-0.23,1.04,0.77,-4.55,0.14
-0.1,-0.24,1.02,-0.28,-4.41,1.26
-0.11,-0.24,1.01,-0.56,-4.9,1.61
-0.11,-0.24,1.01,-0.42,-4.9,2.38
-0.11,-0.24,1,-0.35,-4.2,3.22
-0.12,-0.24,1,0,-3.71,2.8
-0.13,-0.24,1,0.21,-3.85,2.52
-0.13,-0.23,1.01,0.21,-3.57,2.94
-0.13,-0.23,1.01,0.21,-3.01,2.66
-0.14,-0.22,1.02,-0.21,-3.57,2.17
-0.14,-0.22,1.02,-0.42,-4.62,2.1
-0.14,-0.21,1.02,-1.89,-4.55,1.61
-0.15,-0.22,1.01,-2.66,-5.25,1.47
-0.15,-0.21,1,-3.01,-5.53,2.03
-0.16,-0.21,0.99,-2.87,-5.25,1.89
-0.16,-0.21,0.99,-1.89,-4.41,1.4
-0.16,-0.2,0.99,-1.61,-3.01,1.33
-0.16,-0.2,0.99,-2.31,-2.87,1.68
-0.17,-0.2,0.98,-2.45,-3.29,1.4
-0.17,-0.2,0.98,-1.82,-3.57,0.91
-0.16,-0.2,0.97,-1.26,-3.22,1.4
-0.16,-0.2,0.96,-1.26,-2.73,1.54
-0.16,-0.21,0.95,-1.12,-2.8,1.68
-0.15,-0.22,0.94,-0.98,-2.03,1.89
-0.14,-0.22,0.93,-1.05,-1.19,2.24
-0.13,-0.24,0.92,-0.42,-0.98,2.66
-0.12,-0.25,0.91,0.84,-0.77,2.8
-0.11,-0.25,0.91,2.38,-0.28,2.03
-0.1,-0.26,0.91,5.04,-0.07,1.61
-0.08,-0.26,0.93,8.26,1.05,0.98
-0.07,-0.26,0.97,10.92,1.82,1.19
-0.07,-0.26,1.01,12.39,1.75,0.84
-0.07,-0.24,1.04,13.44,0.35,1.68
-0.07,-0.24,1.09,13.37,-1.47,0.91
-0.07,-0.23,1.12,11.76,-4.41,0.35
-0.05,-0.24,1.13,8.82,-7,0.91
-0.03,-0.25,1.11,3.85,-6.51,2.87
-0.03,-0.26,1.06,1.26,-5.18,4.55
-0.02,-0.28,1.01,0,-2.8,5.46
-0.02,-0.29,0.96,1.4,-0.63,6.16
-0.02,-0.3,0.93,5.04,0.35,6.44
-0.02,-0.3,0.91,9.17,0.49,5.95
-0.04,-0.3,0.93,13.79,-0.63,4.06
-0.04,-0.29,0.97,35.63,-3.71,2.73
-0.04,-0.28,1.02,19.39,-5.95,1.89
-0.04,-0.27,1.05,17.64,-8.33,2.87
-0.04,-0.27,1.07,15.33,-9.31,4.06
-0.05,-0.26,1.06,12.04,-7.49,5.04
-0.06,-0.26,1.03,9.31,-5.46,5.39
-0.07,-0.27,1,7.56,-4.06,5.18
-0.08,-0.27,0.97,6.09,-3.15,4.55
-0.09,-0.28,0.93,5.67,-2.1,3.92
-0.11,-0.28,0.91,6.09,-1.89,3.64
-0.12,-0.28,0.89,7.42,-1.82,2.17
-0.13,-0.28,0.88,9.87,-1.54,-0.56
-0.13,-0.26,0.9,11.76,-1.4,-3.85
-0.13,-0.25,0.92,13.09,-1.54,-5.67
-0.12,-0.24,0.95,13.58,-0.91,-6.51
-0.12,-0.23,0.97,13.23,0.63,-7.07
-0.12,-0.21,0.99,11.48,2.8,-9.17
-0.13,-0.2,1,9.94,4.13,-11.13
-0.12,-0.2,1.01,7.91,4.34,-11.83
-0.12,-0.19,1.01,5.74,5.53,-12.6
-0.12,-0.19,1,4.2,5.95,-14.56
-0.12,-0.19,1,2.8,6.3,-16.31
-0.12,-0.18,0.99,1.33,6.09,-17.5
-0.11,-0.18,0.97,0.49,6.02,-17.92
-0.11,-0.17,0.96,0.21,7.42,-18.83
-0.12,-0.17,0.95,0.91,8.19,-20.44
-0.11,-0.16,0.93,1.89,8.89,-22.26
-0.11,-0.16,0.91,2.66,9.38,-24.57
-0.09,-0.17,0.89,3.92,8.26,-25.34
-0.07,-0.18,0.87,7.14,7.07,-26.25
-0.06,-0.19,0.86,10.29,6.23,-27.93
-0.03,-0.2,0.86,13.23,4.69,-28.21
-0.01,-0.21,0.85,16.03,3.15,-27.37
0.01,-0.23,0.86,18.06,3.01,-25.97
0.03,-0.23,0.87,18.9,3.85,-23.52
0.04,-0.22,0.88,17.5,6.02,-20.86
0.03,-0.23,0.89,14.56,7.07,-18.13
0.03,-0.23,0.89,11.69,8.12,-13.58
0.03,-0.24,0.89,8.19,11.41,-9.38
0.01,-0.23,0.88,3.64,15.05,-5.81
-0.02,-0.24,0.85,0.14,17.36,-3.01
-0.03,-0.24,0.83,-2.52,19.67,0.35
-0.06,-0.24,0.81,-5.11,22.75,1.61
-0.08,-0.24,0.79,-7.49,23.66,1.96
-0.11,-0.24,0.77,-9.17,22.33,0.63
-0.13,-0.24,0.77,-9.45,20.65,-1.19
-0.14,-0.25,0.78,-8.75,21,-3.99
-0.16,-0.24,0.8,-8.47,21.56,-6.37
-0.18,-0.23,0.83,-8.68,21.91,-9.52
-0.22,-0.22,0.88,-10.99,20.79,-13.44
-0.24,-0.2,0.91,-13.37,18.83,-19.18
-0.24,-0.19,0.95,-15.89,15.47,-23.59
-0.24,-0.18,0.99,-20.44,11.9,-26.04
-0.23,-0.17,1.05,-25.62,8.4,-27.02
-0.21,-0.18,1.07,-33.67,5.18,-26.81
-0.19,-0.21,1.06,-40.32,1.68,-26.74
-0.17,-0.21,1.1,-41.72,2.03,-25.55
-0.18,-0.22,1.13,-43.12,4.83,-25.34
-0.2,-0.25,1.17,-43.4,3.43,-26.46
-0.21,-0.27,1.2,-41.65,-0.56,-27.93
-0.22,-0.28,1.25,-38.36,-3.92,-30.31
-0.2,-0.27,1.3,-32.9,-7.56,-31.71
-0.19,-0.27,1.33,-29.89,-10.57,-31.92
-0.15,-0.29,1.31,-29.19,-14,-29.54
-0.1,-0.31,1.28,-24.15,-14.35,-24.92
-0.03,-0.29,1.24,-14,-7.21,-21.07
-0.02,-0.26,1.22,4.48,0.77,-19.32
-0.04,-0.24,1.28,21.7,4.13,-18.9
-0.05,-0.2,1.38,31.85,-3.36,-16.38
-0.03,-0.17,1.47,31.5,-12.04,-8.61
