Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.1,0.08,1.03,0.63,-3.36,-5.04
-0.09,0.08,1.03,0.63,-4.48,-5.04
-0.08,0.07,1.03,0.91,-4.76,-5.18
-0.09,0.08,1.03,1.12,-4.41,-4.9
-0.08,0.08,1.03,0.21,-4.27,-5.25
-0.08,0.08,1.03,-0.35,-3.78,-5.74
-0.08,0.08,1.03,-0.84,-3.22,-6.37
-0.08,0.08,1.02,-2.1,-3.08,-6.79
-0.08,0.07,1.02,-2.66,-3.29,-6.86
-0.08,0.07,1.03,-2.87,-3.43,-7.21
-0.08,0.07,1.03,-2.59,-2.94,-7.98
-0.08,0.06,1.03,-1.89,-2.66,-8.05
-0.08,0.06,1.03,-1.05,-2.66,-8.12
-0.08,0.06,1.03,-0.42,-1.82,-8.05
-0.08,0.06,1.04,0.07,-0.7,-7.84
-0.08,0.06,1.04,0.42,-0.49,-7.98
-0.08,0.06,1.03,0.42,-1.4,-8.54
-0.09,0.07,1.03,-0.07,-2.73,-8.82
-0.08,0.07,1.03,0.21,-3.01,-9.52
-0.08,0.06,1.03,0.7,-2.17,-9.73
-0.08,0.07,1.01,-0.21,-1.75,-9.52
-0.08,0.07,1.02,-0.49,-1.68,-9.87
-0.08,0.06,1.02,-0.35,-0.42,-10.43
-0.08,0.07,1.03,-0.21,1.05,-10.57
-0.09,0.07,1.02,-0.14,1.4,-9.94
-0.09,0.06,1.03,-0.91,0.98,-10.57
-0.09,0.06,1.03,-1.26,0.14,-10.99
-0.09,0.06,1.03,-0.56,-0.77,-11.41
-0.09,0.06,1.04,0,-1.54,-11.76
-0.08,0.06,1.04,0.07,-1.82,-11.97
-0.09,0.06,1.05,-0.21,-1.89,-12.46
-0.09,0.06,1.06,-0.49,-1.4,-12.53
-0.09,0.06,1.06,0.28,-1.4,-12.53
-0.1,0.06,1.06,2.03,-1.75,-11.9
-0.1,0.07,1.05,2.52,-2.59,-11.55
-0.1,0.08,1.04,2.38,-2.1,-10.92
-0.1,0.08,1.03,1.54,-2.24,-10.43
-0.1,0.08,1.02,0.63,-3.64,-10.57
-0.09,0.07,1.03,0.21,-4.76,-11.13
-0.09,0.07,1.03,0.35,-4.2,-11.2
-0.09,0.07,1.04,1.12,-3.57,-10.99
-0.1,0.06,1.04,1.82,-3.64,-10.22
-0.1,0.07,1.05,2.31,-3.08,-9.38
-0.1,0.07,1.05,3.36,-2.31,-8.96
-0.1,0.07,1.05,3.57,-0.77,-9.17
-0.1,0.07,1.04,3.5,-0.7,-8.75
-0.11,0.07,1.04,3.15,-1.33,-8.47
-0.11,0.07,1.04,2.8,-2.03,-7.42
-0.11,0.07,1.03,2.31,-3.08,-7.07
-0.1,0.07,1.03,2.66,-3.71,-6.72
-0.1,0.07,1.03,2.38,-3.64,-6.16
-0.1,0.07,1.02,2.52,-3.99,-5.95
-0.1,0.07,1.03,2.73,-3.71,-6.37
-0.09,0.07,1.02,3.22,-2.24,-6.23
-0.09,0.07,1.02,2.17,-1.54,-6.09
-0.09,0.07,1.01,0.84,-1.05,-6.16
-0.09,0.06,1.02,-0.35,-0.91,-6.44
-0.1,0.06,1.02,-1.4,-0.91,-6.79
-0.1,0.05,1.02,-1.61,-1.4,-6.02
-0.1,0.05,1.03,-1.47,-1.75,-5.04
-0.1,0.05,1.03,-1.61,-1.61,-4.41
-0.09,0.04,1.04,-1.54,-1.89,-3.99
-0.09,0.04,1.04,-1.26,-1.89,-3.85
-0.09,0.04,1.04,-0.63,-1.68,-3.71
-0.09,0.05,1.04,0.35,-1.54,-3.15
-0.09,0.05,1.03,0.35,-1.82,-2.03
-0.09,0.06,1.02,-17.85,-2.73,-1.89
-0.09,0.06,1.02,-1.26,-3.29,-1.96
-0.09,0.07,1.02,-2.24,-3.57,-2.59
-0.09,0.06,1.02,-2.45,-3.71,-2.87
-0.08,0.07,1.03,-2.1,-4.13,-3.22
-0.08,0.06,1.04,-2.1,-3.78,-3.29
-0.08,0.07,1.04,-2.1,-3.43,-3.43
-0.08,0.07,1.05,-1.61,-2.73,-3.71
-0.08,0.07,1.06,-1.05,-2.03,-3.85
-0.09,0.06,1.06,-0.28,-1.96,-4.48
-0.08,0.07,1.06,0.63,-1.82,-5.11
-0.08,0.07,1.06,1.26,-1.68,-5.18
-0.09,0.07,1.05,0.98,-1.89,-5.11
-0.09,0.07,1.04,0.98,-2.8,-5.18
-0.08,0.07,1.04,1.54,-3.57,-5.39
-0.08,0.07,1.03,1.33,-3.5,-5.53
-0.09,0.07,1.03,0.56,-3.29,-6.02
-0.08,0.06,1.03,0.07,-3.29,-6.02
-0.08,0.06,1.04,0.35,-3.22,-5.88
-0.09,0.06,1.04,0.63,-2.59,-6.02
-0.09,0.06,1.04,0.63,-2.45,-5.53
-0.09,0.06,1.04,0.98,-2.8,-5.67
-0.09,0.06,1.04,0.84,-2.66,-5.53
-0.1,0.06,1.04,1.19,-2.87,-5.25
-0.1,0.06,1.03,1.68,-3.29,-4.9
-0.1,0.06,1.03,1.82,-3.64,-4.27
-0.1,0.07,1.03,1.05,-3.71,-3.71
-0.1,0.06,1.03,0.49,-3.85,-3.22
-0.1,0.06,1.04,0.21,-3.57,-2.87
-0.1,0.05,1.04,0.21,-3.92,-2.73
-0.1,0.05,1.04,0.77,-4.41,-2.03
-0.1,0.05,1.04,1.54,-4.34,-1.26
-0.1,0.05,1.03,2.38,-4.27,-0.98
-0.09,0.05,1.02,2.17,-4.06,-0.98
-0.09,0.05,1.02,1.61,-4.13,-0.49
-0.09,0.05,1.02,0.49,-3.85,0
-0.09,0.05,1.02,0.07,-3.92,0.14
-0.09,0.04,1.02,0.21,-3.99,0
-0.09,0.05,1.02,-0.14,-4.48,0.42
-0.08,0.04,1.02,-0.14,-4.83,0.7
