Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
0.01,-0.06,1,-2.52,-1.54,7.77
0,-0.04,0.99,-4.27,-2.24,7.07
0.01,-0.03,0.99,-5.67,-2.87,6.37
0.01,-0.03,0.99,-6.51,-3.57,5.32
0.01,-0.03,1,-6.72,-3.99,4.55
0,-0.02,1,-7.28,-4.06,3.36
0,-0.02,1.01,-7.42,-4.13,1.75
0,-0.02,1.01,-7.84,-3.92,0.63
-0.01,-0.02,1.01,-8.12,-3.85,-0.42
-0.01,-0.03,1.02,-8.19,-3.29,-1.47
-0.01,-0.04,1.02,-7.63,-3.15,-2.8
-0.01,-0.05,1.02,-7.07,-3.08,-3.92
-0.01,-0.05,1.03,-7.7,-2.45,-5.11
-0.02,-0.07,1.03,-7.7,-2.17,-6.02
-0.03,-0.08,1.04,-7.28,-1.75,-6.93
-0.04,-0.08,1.04,-7.56,-1.12,-7.42
-0.04,-0.08,1.04,-7.21,-0.98,-8.05
-0.04,-0.08,1.04,-6.72,-0.91,-8.61
-0.05,-0.08,1.04,-7.21,-0.77,-9.17
-0.05,-0.09,1.03,-6.93,-1.12,-9.52
-0.05,-0.09,1.03,-6.3,-1.89,-9.59
-0.06,-0.1,1.03,-6.72,-2.52,-9.38
-0.06,-0.11,1.03,-6.79,-3.43,-9.1
-0.06,-0.12,1.03,-6.93,-4.34,-8.4
-0.06,-0.14,1.03,-7.7,-5.18,-7.35
-0.07,-0.15,1.03,-7.42,-6.44,-6.16
-0.07,-0.15,1.05,-6.16,-7.14,-5.04
-0.08,-0.14,1.07,-5.88,-7,-3.43
-0.09,-0.13,1.08,-5.04,-6.16,-2.24
-0.1,-0.12,1.08,-4.76,-5.32,-0.84
-0.1,-0.11,1.08,-5.32,-4.34,0.28
-0.1,-0.12,1.07,-4.76,-3.85,1.89
-0.09,-0.13,1.06,-4.13,-3.43,3.08
-0.09,-0.13,1.06,-3.01,-3.22,4.27
-0.09,-0.13,1.06,-1.61,-3.43,6.3
-0.09,-0.12,1.06,-0.77,-3.08,7.98
-0.09,-0.12,1.06,-1.05,-2.66,9.73
-0.09,-0.12,1.05,-1.26,-2.87,11.34
-0.09,-0.12,1.05,-1.26,-3.15,13.58
-0.08,-0.13,1.05,-1.26,-2.94,15.26
-0.08,-0.11,1.04,-0.28,-3.29,17.08
-0.08,-0.14,1.04,-0.98,-2.45,19.53
-0.09,-0.14,1.03,2.1,-3.36,21.35
-0.06,-0.12,1.04,1.12,-2.52,23.17
-0.06,-0.12,1.03,0,-1.75,24.99
-0.06,-0.13,1.02,0.91,-2.24,26.74
-0.04,-0.11,1.03,0.77,-1.54,27.86
-0.04,-0.12,1.02,-0.21,-1.26,28.98
